video_id,published,duration_sec,views,export_module,is_export_related,topics,title,url
ygq17oBP11Q,2021-05-26,531,5618,,N,수출통관/신고|통관일반/관세|특수무역형태|개인/여행/직구,반려동물 사료 해외직구 과연 가능할까?,https://www.youtube.com/watch?v=ygq17oBP11Q
mxtRkC9mCdU,2021-05-11,848,12007,M08 HS/관세/환급,Y,수출통관/신고|통관일반/관세|자격증/시험,관세 환급에 대하여 알기 쉽게 말씀드리겠습니다.,https://www.youtube.com/watch?v=mxtRkC9mCdU
tMl_wmM7IUM,2021-05-07,566,2593,,N,수출통관/신고|통관일반/관세|자격증/시험,"35기 관세사 수석합격자  4년차 유예, 존버는 승리한다!!!",https://www.youtube.com/watch?v=tMl_wmM7IUM
DATzq-gHVvc,2021-05-04,353,1192,M15 무역금융/지원,Y,수출통관/신고|통관일반/관세|무역금융/지원|자격증/시험,여러분 수출입화물 검사비용을 지원해준다는 사실 알고 계셨나요?,https://www.youtube.com/watch?v=DATzq-gHVvc
2HtiZMjXd-A,2021-04-30,818,15505,,N,수출통관/신고|통관일반/관세|자격증/시험,"32기 관세사 수석합격, 그 이후 실무에서의 6년...",https://www.youtube.com/watch?v=2HtiZMjXd-A
pDE05QeAF0o,2021-04-28,587,7469,,N,수입통관/신고|통관일반/관세|자격증/시험,"관세사 1차시험 공부전략 (ft. 시간배분, 회계학, 중요도)",https://www.youtube.com/watch?v=pDE05QeAF0o
8Qg5h47FRQY,2021-04-23,703,2867,,N,수입통관/신고|통관일반/관세|자격증/시험,[관세사합격] 이렇게 공부해서 무역실무 점수올렸어요,https://www.youtube.com/watch?v=8Qg5h47FRQY
1OcMwIjCM2c,2021-04-16,1156,12403,,N,수입통관/신고|통관일반/관세|자격증/시험,정재환 관세사가 알려주는 관세사 2차시험 길라잡이!!,https://www.youtube.com/watch?v=1OcMwIjCM2c
1HaEcZQ-QMc,2021-04-14,909,9471,,N,자격증/시험|취업/커리어,"이케아-삼성-현재 미국기업, 20년차 대기업 근무 관세사합격자가 말합니다.",https://www.youtube.com/watch?v=1HaEcZQ-QMc
NmHxIf8LXO0,2021-04-09,816,20165,,N,자격증/시험,"상시시험으로 바뀐 무역영어 시험후기(ft.난이도,유의사항,준비물,공부방법)",https://www.youtube.com/watch?v=NmHxIf8LXO0
AriCvTvGSZE,2021-04-07,556,2844,,N,취업/커리어,"이직하기 전 무조건 알아야 할 사항! (feat. 헤드헌터, 링크드인, 연봉협상)",https://www.youtube.com/watch?v=AriCvTvGSZE
7O_UEt43IL0,2021-04-02,686,2557,,N,수입통관/신고|통관일반/관세|자격증/시험,"[관세사 합격] 무작정 암기는 오히려 ""독"" 이해하고 암기해라!",https://www.youtube.com/watch?v=7O_UEt43IL0
EBGjgalUS1I,2021-03-31,1185,2874,,N,취업/커리어,"기업의 워라밸, 중소기업vs대기업vs외국계기업 취업의 진실은?",https://www.youtube.com/watch?v=EBGjgalUS1I
0w_lS2VCv-k,2021-03-26,1084,59093,,N,수출통관/신고|결제/신용장/외환|세무/노무/기타|자격증/시험,"해외가족에게 생활비 송금, 증여세도 쌓인다!",https://www.youtube.com/watch?v=0w_lS2VCv-k
0fvcwB7slrc,2021-03-24,1535,5488,,N,자격증/시험|취업/커리어,전문자격사의 강사진입과 학원 커리큘럼에 대한 이야기 (feat 임예진 관세사),https://www.youtube.com/watch?v=0fvcwB7slrc
ssnO8J7N800,2021-03-19,1586,28515,,N,자격증/시험|취업/커리어,"관세사 10년, 업계스타강사 임예진관세사 진솔토크!  언니or누나 말 잘들어",https://www.youtube.com/watch?v=ssnO8J7N800
fHpxy2HlQf4,2021-03-17,753,3565,,N,수출통관/신고|자격증/시험,"관세사 합격후기. 특히, 유예생들은 그때 디테일한 것 다 가져가셔야 해요",https://www.youtube.com/watch?v=fHpxy2HlQf4
MmdX5ZqXrfA,2021-03-15,223,1382,,N,수출통관/신고|결제/신용장/외환|자격증/시험|취업/커리어,현직자를 위한 무역실무 신간 책이 출간되었어요.  무료증정이벤트 합니다!,https://www.youtube.com/watch?v=MmdX5ZqXrfA
ppYYkfrZh3k,2021-03-12,1349,21254,M12 결제/신용장/외환,Y,수출통관/신고|결제/신용장/외환|자격증/시험,"야야 이거 들어봐, 보증신용장 1000%이해가능 (feat. 청구보증 독립보증)",https://www.youtube.com/watch?v=ppYYkfrZh3k
GmPBlC1wAwA,2021-03-09,680,6332,,N,수출통관/신고|자격증/시험,2유예 관세사시험 합격. 거리가 멀다고 걱정 노노하세요! 저는 진짜 집에서만 공부했습니다,https://www.youtube.com/watch?v=GmPBlC1wAwA
JgVZSfVBtl4,2021-03-05,603,28345,,N,수출통관/신고|자격증/시험|취업/커리어,(실제상황) 수습관세사 출근하자마자 사고가 터졌다...미치겠네..,https://www.youtube.com/watch?v=JgVZSfVBtl4
8srf022ycq8,2021-03-03,516,39050,,N,수출통관/신고|자격증/시험,관세사 수석합격 후 대형법인에 들어갔습니다...그런데,https://www.youtube.com/watch?v=8srf022ycq8
bwG15mxi04Q,2021-02-26,602,5277,M06 수출통관/수출신고,Y,수출통관/신고|통관일반/관세|원산지/FTA|무역서류|자격증/시험,[수출신고 통관절차] 실무적으로 하나하나 설명드립니다,https://www.youtube.com/watch?v=bwG15mxi04Q
yDE2_bEheFQ,2021-02-23,541,6519,,N,수입통관/신고|통관일반/관세|자격증/시험,"'3유예' 관세사합격자 曰: ""저는 암기식을 하나도 안따고 ...""",https://www.youtube.com/watch?v=yDE2_bEheFQ
QJBj1arCeXM,2021-02-19,682,19172,,N,자격증/시험|취업/커리어,"대학원 진학에 대한 고민하시는 분들 비용, 과제, 졸업요건 등등 알려드립니다",https://www.youtube.com/watch?v=QJBj1arCeXM
cWSGOW9o8sI,2021-02-17,654,6301,,N,수입통관/신고|통관일반/관세|자격증/시험,3동차로 관세사시험 합격!  전 이렇게 해서 합격했습니다.,https://www.youtube.com/watch?v=cWSGOW9o8sI
nzy_L8DCkjw,2021-02-12,167,2868,,N,수입통관/신고|통관일반/관세|자격증/시험,(선공개) 관세사 수험공부하시고 하시려는분들에게 헌정합니다.,https://www.youtube.com/watch?v=nzy_L8DCkjw
ijk15Bv5OoQ,2021-02-09,954,5157,M07 수입통관/수입신고,Y,수입통관/신고|통관일반/관세,실무적으로 알려주는 수입신고 Q&A 좋은정보만 모았습니다,https://www.youtube.com/watch?v=ijk15Bv5OoQ
e3Pg8-I-UJY,2021-02-04,830,7415,,N,원산지/FTA|운송/B/L/포워딩|결제/신용장/외환|자격증/시험,"변호사,법무사,변리사,회계사..등등 8대 전문자격사 등록비용 비교분석",https://www.youtube.com/watch?v=e3Pg8-I-UJY
L09JnWuwgD4,2021-02-02,511,23013,,N,원산지/FTA|운송/B/L/포워딩|결제/신용장/외환|자격증/시험,"모든 무역자격증! 야,너두 가능해 수험기간과 팁, 시험정보 등을 알려드립니다.",https://www.youtube.com/watch?v=L09JnWuwgD4
_9Kjm0Vy4ko,2021-01-28,530,1310,,N,통관일반/관세,SBS 공중파 '살맛나는 오늘' 방송출연했습니다!! (ft. 비하인드),https://www.youtube.com/watch?v=_9Kjm0Vy4ko
FwfmaRxncAI,2021-01-26,547,10078,M10 운송/물류/B/L,Y,운송/B/L/포워딩|결제/신용장/외환,낼 땐 내더라도 어떤 비용인지는 알고 냅시다!  해상운임항목 총정리,https://www.youtube.com/watch?v=FwfmaRxncAI
jdPKKi6rBss,2021-01-21,868,15464,,N,결제/신용장/외환,[외국환거래법] 유학자금으로 해외에서 집을 살 수 있다?? 외국환거래법으로 보는 해외부동산,https://www.youtube.com/watch?v=jdPKKi6rBss
_DFl3bQemgg,2021-01-19,503,7686,,N,인코텀즈|결제/신용장/외환|자격증/시험,외환전문역 2종 자격증입니다 근데 이제 약간의 합격팁을 곁들인...,https://www.youtube.com/watch?v=_DFl3bQemgg
h_YqTNO6eYE,2021-01-15,893,101702,M12 결제/신용장/외환,Y,결제/신용장/외환|자격증/시험,왕초보시점으로 설명해주는 신용장! 바로 이해가능!,https://www.youtube.com/watch?v=h_YqTNO6eYE
zEZChPIBEIc,2021-01-12,758,43517,,N,자격증/시험,드뎌..관세사 합격!! 4년동안 공부하면서 팁들을 말씀드려봅니다,https://www.youtube.com/watch?v=zEZChPIBEIc
dnnpnakBmSA,2021-01-08,482,3927,M09 원산지/FTA,Y,원산지/FTA,이 영상 하나로! 원산지증명서 발급절차 정리해준다요~,https://www.youtube.com/watch?v=dnnpnakBmSA
BVNY4zxNhzo,2021-01-05,782,3904,,N,자격증/시험,"국제무역사 자격증 시험대비, 새해부터 바뀌는 개정사항 정리 해드립니다( +2개 신설됨)",https://www.youtube.com/watch?v=BVNY4zxNhzo
o0mhUQaDi8M,2020-12-30,639,3051,M03 계약/분쟁/사기,Y,결제/신용장/외환|분쟁/사기/중재,의심하고 또 의심하라! 무역사기를 감지하는 방법,https://www.youtube.com/watch?v=o0mhUQaDi8M
J6pDbRV0rKI,2020-12-29,383,1235,M09 원산지/FTA,Y,원산지/FTA,인증수출자 제도란 무엇일까요? (ft. FTA),https://www.youtube.com/watch?v=J6pDbRV0rKI
f67BL0wUcyc,2020-12-22,644,3882,,N,자격증/시험|취업/커리어,"(관세사 수험 4년, 각종 자격증들을 딴) 현직에서 일하고 있는 관세사 합격자가 말합니다.",https://www.youtube.com/watch?v=f67BL0wUcyc
IaCaU6rFZdM,2020-12-18,549,32918,,N,수입통관/신고|통관일반/관세|자격증/시험,2021년부터 바뀌는 무역영어 공부전략 및 정보 (공부하기전에 얼른보세요!!),https://www.youtube.com/watch?v=IaCaU6rFZdM
uOwSO3nB9WI,2020-12-15,611,1385,M09 원산지/FTA,Y,통관일반/관세|원산지/FTA,2021년 새해부터 발효되는 한·영 FTA  미리 알아볼까요?,https://www.youtube.com/watch?v=uOwSO3nB9WI
eH-WTRG6RkA,2020-12-11,639,20541,,N,자격증/시험|취업/커리어,잠깐! 국제무역사 공부하기 전에 영상 시청 필수!,https://www.youtube.com/watch?v=eH-WTRG6RkA
V06pJMTW5O8,2020-12-08,517,4626,M07 수입통관/수입신고,Y,수입통관/신고|통관일반/관세|특수무역형태,"관세사 없이 쉽다 쉬워, 우편물(EMS)간이통관 및 사전분류 신청하기",https://www.youtube.com/watch?v=V06pJMTW5O8
dqL4xSm-Mvo,2020-12-04,691,6549,M06 수출통관/수출신고,Y,수출통관/신고|통관일반/관세,"관세사님 몰래 올립니다, 괜찮겠지?.. 유니패스 온라인으로 수출신고(자가통관) 하는 방법",https://www.youtube.com/watch?v=dqL4xSm-Mvo
m54eOB_72Wc,2020-12-01,929,46010,,N,결제/신용장/외환|개인/여행/직구,[외국환거래법] 해외송금 자주하면 세무조사 받을 수 있다는거 알고 계셨나요?..,https://www.youtube.com/watch?v=m54eOB_72Wc
