코드군,명칭,코드테이블,개별코드
INRG_DTL_PATH_CD,범칙상세경로코드,,N
INRG_METH_CD,범칙수단코드,,N
CRIM_MTV_CD,범행동기코드,,N
LWOR_KCD,법령종류코드,,N
LWOR_CD,법령코드,,N
MOJ_EDCY_CITY_CD,법무부출입국도시코드,,N
LW_CDLN_TPCD,법조문구분코드,,N
MISR_TPCD,병역구분코드,,N
SNAR_TPCD,보세구역구분코드,,N
SNAR_RLBR_MDFY_ITEM_CD,보세구역반출입정정항목코드,,N
SNAR_RLBR_CARG_KCD,보세구역반출입화물종류코드,,N
BNBN_TRNP_INSC_TPCD,보세운송검사구분코드,,N
BNBN_TRNP_INSC_TRGT_TPCD,보세운송검사대상구분코드,,N
BNBN_TRNP_INSC_APNT_STCD,보세운송검사지정상태코드,,N
BNBN_TRNP_INSC_PRCS_STCD,보세운송검사처리상태코드,,N
BNBN_TRNP_APRE_RQST_MG_TPCD,보세운송승인신청담보구분코드,,N
BNBN_TRNP_APRE_RQST_RCD,보세운송승인신청사유코드,,N
RPR_WKNG_FORM_CD,보수작업형태코드,,N
RVSN_AUDT_OMIT_TPCD,보정심사생략구분코드,,N
RVSN_AUDT_HNWR_SELC_RCD,보정심사수작업선별사유코드,,N
RVSN_AUDT_PRCS_STCD,보정심사처리상태코드,,N
SELG_BRKD_CD,봉인내역코드,,N
SELG_APNT_BRKD_PRCS_STCD,봉인지정내역처리상태코드,,N
VAT_TX_TPCD,부가세과세구분코드,,N
ANAY_ITT_TPCD,분석기관구분코드,,N
DVDE_RLBR_TPCD,분할반출입구분코드,,N
DVDE_UNFC_RCD,분할통합사유코드,,N
DVDE_UNFC_RCD_01,분할통합사유코드_01,,N
DVDE_UNFC_RCD_02,분할통합사유코드_02,,N
DVDE_UNFC_RCD_03,분할통합사유코드_03,,N
AGTL_PCD,비위유형코드,,N
INCD_BSS_TPCD,사건근거구분코드,,N
INCD_BSS_TPCD_01,사건근거구분코드_01,,N
BSNS_TPCD,사업자구분코드,,N
BUSI_KCD,사업종류코드,,N
SITE_PCD,사이트유형코드,,N
BTAA_SELC_BASE_CD,사전세액심사선별기준코드,,N
AFFC_MT_MCD,사후관리방법코드,,N
AFFC_MT_NNOB_RCD,사후관리비대상사유코드,,N
AFFC_MT_TKAC_RSCD,사후관리조치결과코드,,N
AFFC_MT_TKAC_STCD,사후관리조치상태코드,,N
AFFC_MT_TKAC_STCD_01,사후관리조치상태코드_01,,N
AFFC_MT_CONC_DT_TPCD,사후관리종결일자구분코드,,N
AFFC_MT_CONC_DT_TPCD_01,사후관리종결일자구분코드_01,,N
AFFC_MT_CFRM_RSCD,사후관리확인결과코드,,N
AFFC_MT_CFRM_MCD,사후관리확인방법코드,,N
INES_CD,산업단지코드,,N
DFRN_BRKD_CD,상이내역코드,,N
BRND_CD,상표코드,,N
ISTM_SBMT_CHNG_RCD,서류제출변경사유코드,,N
SHAR_SUPL_LOAD_CMDT_TPCD,선기용품적재물품구분코드,,N
SHAR_SUPL_LOAD_CMDT_TPCD_01,선기용품적재물품구분코드_01,,N
SHAR_SUPL_LOAD_CMDT_TPCD_02,선기용품적재물품구분코드_02,,N
SHAR_SUPL_LOAD_CMDT_TPCD_03,선기용품적재물품구분코드_03,,N
SHIP_ALTG_CHK_RSCD,선박일제점검결과코드,,N
SHIP_KCD,선박종류코드,,N
SELC_INSC_KCD,선별검사종류코드,,N
SELC_RCD,선별사유코드,,N
SELC_KCD,선별종류코드,,N
CREW_TPCD,선원구분코드,,N
GNDR_CD,성별코드,,N
CSTM_TPCD,세관구분코드,,N
CSOR_CFRM_TRGT_LWOR_CD,세관장확인대상법령코드,,N
CSTM_DSPS_PCD,세관처분유형코드,,N
NTRV_VLTN_PCD,세외수입위반유형코드,,N
RQTY_CLCU_MCD,소요량산정방법코드,,N
RQTY_CLCU_MCD_01,소요량산정방법코드_01,,N
RQTY_CLCU_MCD_02,소요량산정방법코드_02,,N
BFAC_RLSE_APRE_RCD,수리전반출승인사유코드,,N
BFAC_RLSE_CNCL_RCD,수리전반출취소사유코드,,N
INVS_CMND_TPCD,수사지휘구분코드,,N
IMP_RJCT_RCD,수입각하사유코드,,N
IMP_DLNG_TPCD,수입거래구분코드,,N
IMP_INSC_RSCD,수입검사결과코드,,N
IMP_INSC_TPCD,수입검사구분코드,,N
IMP_INSC_CHNG_RCD,수입검사변경사유코드,,N
IMP_INSC_CHNG_RCD_01,수입검사변경사유코드_01,,N
IMP_INSC_CHNG_RCD_02,수입검사변경사유코드_02,,N
IMP_INSC_CHNG_RCD_03,수입검사변경사유코드_03,,N
IMP_INSC_CHNG_RCD_04,수입검사변경사유코드_04,,N
IMP_INSC_CHNG_RCD_05,수입검사변경사유코드_05,,N
IMP_INSC_CHNG_RCD_06,수입검사변경사유코드_06,,N
IMP_INSC_CHNG_CD,수입검사변경코드,,N
IMP_INSC_OMIT_RCD,수입검사생략사유코드,,N
IMP_IMPT_RCD,수입귀책사유코드,,N
IMP_SPLM_REQS_RCD,수입보완요구사유코드,,N
IMP_TMPR_CD,수입성질코드,,N
IMP_DCLR_TPCD,수입신고구분코드,,N
